anchor,cluster,following_word,count
ben,ben şahsen,şahsen,2
ben,ben amerika,amerika,2
ben,ben kalkıp,kalkıp,2
ben,ben malum,malum,1
ben,ben belediye,belediye,1
ben,ben sadece,sadece,1
ben,ben orayı,orayı,1
ben,ben kılıçdaroğlu,kılıçdaroğlu,1
ben,ben gelince,gelince,1
ben,ben anneme,anneme,1
ben,ben ayağının,ayağının,1
ben,ben bunlara,bunlara,1
ben,ben kira,kira,1
ben,ben özellikle,özellikle,1
ben,ben bugünkü,bugünkü,1
ben,ben siyasetçiysem,siyasetçiysem,1
ben,ben batı,batı,1
ben,ben seninle,seninle,1
ben,ben olayım,olayım,1
ben,ben milletime,milletime,1
ben,ben inanıyorum,inanıyorum,1
ben,ben kürt,kürt,1
ben,ben bekir,bekir,1
ben,ben gittim,gittim,1
ben,ben arkadaşlarımı,arkadaşlarımı,1
ben,ben muhalefete,muhalefete,1
ben,ben hesap,hesap,1
biz,biz yaptık,yaptık,5
biz,biz varız,varız,4
biz,biz ımf,ımf,3
biz,biz asla,asla,3
biz,biz buyuz,buyuz,3
biz,biz seçim,seçim,2
biz,biz haliç,haliç,2
biz,biz göreve,göreve,2
biz,biz kaldırdık,kaldırdık,2
biz,biz tek,tek,2
biz,biz açtık,açtık,2
biz,biz değil,değil,2
biz,biz severiz,severiz,2
biz,biz buralardan,buralardan,1
biz,biz yurt,yurt,1
biz,biz gelene,gelene,1
biz,biz işe,işe,1
biz,biz atatürk,atatürk,1
biz,biz iş,iş,1
biz,biz kızılay,kızılay,1
biz,biz hele,hele,1
biz,biz biliyorsunuz,biliyorsunuz,1
biz,biz olaya,olaya,1
biz,biz eyvallah,eyvallah,1
biz,biz kendilerine,kendilerine,1
biz,biz hüdapar,hüdapar,1
biz,biz dedik,dedik,1
biz,biz kalkıp,kalkıp,1
biz,biz getirdik,getirdik,1
biz,biz sağladık,sağladık,1
devlet,devlet adamlığı,adamlığı,2
devlet,devlet hastanesi,hastanesi,2
devlet,devlet diyoruz,diyoruz,1
devlet,devlet adamı,adamı,1
devlet,devlet yönetmede,yönetmede,1
devlet,devlet beyle,beyle,1
devlet,devlet yaşasın,yaşasın,1
millet,millet ittifakı,ittifakı,3
millet,millet tek,tek,2
millet,millet ittifakından,ittifakından,1
millet,millet özellikle,özellikle,1
millet,millet oluşturamazsınız,oluşturamazsınız,1
millet,millet sevilmez,sevilmez,1
millet,millet meclisi,meclisi,1
millet,millet yutmuyor,yutmuyor,1
millet,millet mayasının,mayasının,1
milletimiz,milletimiz sandıkta,sandıkta,1
milletimiz,milletimiz ola,ola,1
milletimiz,milletimiz kendilerini,kendilerini,1
milletimiz,milletimiz cumhurbaşkanlığı,cumhurbaşkanlığı,1
milletimiz,milletimiz kararını,kararını,1
milletimiz,milletimiz türkiye,türkiye,1
milletimiz,milletimiz var,var,1
türk,türk bayrağı,bayrağı,2
türk,türk kesimleriyle,kesimleriyle,1
türk,türk milletinin,milletinin,1
türkiye,türkiye yüzyılı,yüzyılı,3
türkiye,türkiye genelinde,genelinde,2
türkiye,türkiye olacağız,olacağız,2
türkiye,türkiye yüzyılını,yüzyılını,2
türkiye,türkiye son,son,2
türkiye,türkiye savunma,savunma,1
türkiye,türkiye olmayıp,olmayıp,1
türkiye,türkiye yaşatmam,yaşatmam,1
türkiye,türkiye pek,pek,1
türkiye,türkiye özellikle,özellikle,1
türkiye,türkiye bedeli,bedeli,1
türkiye,türkiye inşası,inşası,1
türkiye,türkiye yönetimine,yönetimine,1
türkiye,türkiye istediler,istediler,1
türkiye,türkiye demokratik,demokratik,1
türkiye,türkiye kürt,kürt,1
türkiye,türkiye ekonomi,ekonomi,1
türkiye,türkiye gönderdi,gönderdi,1
türkiye,türkiye arasında,arasında,1
türkiye,türkiye ortak,ortak,1
türkiye,türkiye değer,değer,1
türkiye,türkiye önüne,önüne,1
türkiye,türkiye güvenliğinin,güvenliğinin,1
türkiye,türkiye yüzyılının,yüzyılının,1
türkiye,türkiye yüz,yüz,1
türkiye,türkiye büyük,büyük,1
türkiye,türkiye gücü,gücü,1
türkiye,türkiye sen,sen,1
türkiye,türkiye hayalinin,hayalinin,1
türkiye,türkiye siyasi,siyasi,1
